message-id,vendor-category,vendor-group,vendor-severity
1149,High Availability,Cluster,warning
1150,Users,SSO Agent Authentication,alert
1151,Users,SSO Agent Authentication,alert
1152,High Availability,Cluster,error
1153,SSL VPN,General,info
1154,Firewall,Application Control,alert
1155,Firewall,Application Control,alert
1156,Network,General,error
1157,Users,Authentication Access,info
1158,Users,Authentication Access,info
1159,Security Services,General,warning
1160,System,Settings,debug
1161,System,Settings,debug
1162,High Availability,Synchronization,alert
1163,3G/4G Modem and Module,E1-T1 Module,info
1164,3G/4G Modem and Module,E1-T1 Module,info
1165,3G/4G Modem and Module,E1-T1 Module,info
1166,3G/4G Modem and Module,E1-T1 Module,info
1167,3G/4G Modem and Module,E1-T1 Module,info
